pickup_grid,trips,avg_value,lat,lon,cluster
-252_7376,604,0.034905629139072844,-1.2575,36.8825,7
-243_7361,149,0.034859060402684564,-1.2125000000000001,36.8075,4
-262_7362,6514,0.03477298894688363,-1.3075,36.8125,2
-265_7354,2917,0.03472248885841618,-1.3225,36.7725,2
-263_7362,5749,0.03469646895112193,-1.3125,36.8125,2
-266_7370,2407,0.0346896551724138,-1.3275000000000001,36.8525,2
-260_7359,16102,0.03455850204943486,-1.2975,36.7975,2
-256_7342,308,0.03446103896103896,-1.2775,36.7125,4
-247_7370,131,0.034381679389312976,-1.2325,36.8525,5
-251_7359,1199,0.034343619683069225,-1.2525,36.7975,2
-260_7378,3551,0.034288299070684314,-1.2975,36.8925,7
-261_7371,280,0.034239285714285715,-1.3025,36.8575,2
-249_7377,271,0.034190959409594095,-1.2425,36.8875,7
-264_7363,3494,0.034149971379507725,-1.3175000000000001,36.8175,2
-263_7359,254,0.034102362204724415,-1.3125,36.7975,2
-251_7384,949,0.034047945205479456,-1.2525,36.9225,7
-264_7383,1115,0.034047533632287,-1.3175000000000001,36.917500000000004,7
-265_7366,7776,0.03367457561728395,-1.3225,36.8325,2
-265_7367,2601,0.03354757785467128,-1.3225,36.8375,2
-261_7373,106,0.033547169811320755,-1.3025,36.8675,2
-260_7371,2245,0.03349365256124722,-1.2975,36.8575,2
-265_7374,570,0.03342105263157895,-1.3225,36.8725,2
-261_7382,1436,0.03341713091922006,-1.3025,36.9125,7
-253_7379,300,0.033389999999999996,-1.2625,36.8975,7
-257_7398,156,0.03337820512820513,-1.2825,36.9925,7
-254_7360,5541,0.03337001443782711,-1.2675,36.8025,2
-261_7359,681,0.03320411160058737,-1.3025,36.7975,2
-260_7377,2599,0.032916506348595616,-1.2975,36.8875,7
-265_7365,27984,0.03291500500285877,-1.3225,36.8275,2
-261_7357,2844,0.032884054149085795,-1.3025,36.7875,2
-246_7377,586,0.032665529010238906,-1.2275,36.8875,5
-266_7365,35807,0.03255838243918787,-1.3275000000000001,36.8275,2
-265_7360,4845,0.03251532507739938,-1.3225,36.8025,2
-262_7351,189,0.03236507936507937,-1.3075,36.7575,4
-255_7350,152,0.03214473684210526,-1.2725,36.7525,4
-251_7360,979,0.03204111338100102,-1.2525,36.8025,2
-254_7357,1570,0.032021656050955416,-1.2675,36.7875,4
-243_7358,4244,0.03199304901036758,-1.2125000000000001,36.792500000000004,4
-263_7372,363,0.031853994490358126,-1.3125,36.862500000000004,2
-267_7373,848,0.03184640330188679,-1.3325,36.8675,2
-253_7360,38395,0.03181885011069149,-1.2625,36.8025,2
-254_7377,1890,0.03178611111111111,-1.2675,36.8875,7
-253_7378,526,0.03177566539923954,-1.2625,36.8925,7
-254_7376,1788,0.03177279082774049,-1.2675,36.8825,7
-252_7375,4560,0.03172379385964912,-1.2575,36.8775,7
-253_7391,139,0.03153237410071943,-1.2625,36.9575,7
-244_7384,107,0.031448598130841124,-1.2175,36.9225,5
-253_7362,9973,0.031405820715933015,-1.2625,36.8125,2
-257_7358,3966,0.031401664145234494,-1.2825,36.792500000000004,2
-242_7379,2195,0.03136640091116173,-1.2075,36.8975,5
-265_7361,650,0.03120153846153846,-1.3225,36.8075,2
-258_7396,445,0.031170786516853934,-1.2875,36.9825,7
-250_7374,3914,0.031148952478283087,-1.2475,36.8725,7
